id,region_id,name,description,,image_url
1,1,"イン・アンド・アウト・バーガータコス (Tacos)
",ロサンゼルスは本格的なメキシコ料理の宝庫。屋台やトラックで食べるタコスは格別です。,,/images/food/001.jpg
2,1,フードトラック料理,様々な国の料理を提供するフードトラック（移動販売車）が街中にあり、手軽に多様な味が楽しめます。,,/images/food/002.jpg
3,1,サワードウブレッド,サンフランシスコに近いこともあり、酸味のある発酵パン（サワードウ）を使った料理やパンが人気です。,,/images/food/003.jpg
4,2,高級ステーキハウスのステーキ,ラスベガスの高級ホテルには一流のステーキハウスが多く、熟成肉や和牛などを堪能できます。,,/images/food/004.jpg
5,2,セレブシェフのレストラン料理,ゴードン・ラムゼイなど、著名シェフがプロデュースした独創的な料理を体験できます。,,/images/food/005.jpg
6,2,ファインダイニング,世界のトップホテルにある、洗練された雰囲気とサービスで楽しむ高級各国料理。,,/images/food/006.jpg
7,3,チミチャンガ,大きなトルティーヤに具材を詰めて揚げた、サウスウェスト料理の定番。,,/images/food/007.jpg
8,3,ソノラン・ホットドッグ (Sonoran Hot Dog),ベーコンで巻いたホットドッグに豆や玉ねぎ、サルサなどのトッピングを乗せた、ソノラ砂漠地域（メキシコ北部とアリゾナ南部）の名物。,,/images/food/008.jpg
9,3,サボテン料理,ノパール（ウチワサボテン）の葉を使ったタコスやサラダなど、砂漠地帯ならではの食材を使った料理。,,/images/food/009.jpg
10,4,ニューヨークスタイル・ピザ,薄い生地で直径が大きく、手で持って折り曲げて食べるのが特徴。一切れ（スライス）単位で気軽に買えます。,,/images/food/010.jpg
11,4,ニューヨークチーズケーキ,濃厚でクリーミーな味わいが特徴のベイクドチーズケーキ。しっかりした土台とボリューム感が魅力です。,,/images/food/011.jpg
12,4,ホットドッグ,街角の屋台で気軽に食べられる軽食。マスタードやザワークラウトなどをトッピングして楽しみます。,,/images/food/012.jpeg
13,5,ハーフ・スモーク,D.C.名物のソーセージで、半分豚肉、半分牛肉で作られます。スパイシーで、チリソースをかけて食べるのが定番です。,,/images/food/013.jpg
