id,region_id,name,description,image_url
1,2,ラスベガス,夜空を焦がすネオンの光、世界最高峰のエンターテイメントが集結する「不夜城」。 豪華絢爛なカジノで一攫千金を夢見たり、一流シェフのグルメに舌鼓を打ったり。 息をのむようなシルク・ドゥ・ソレイユのショーや、有名DJの熱狂的なパフォーマンス。 ベネチアのゴンドラやパリのエッフェル塔を再現したホテル街を歩けば、世界旅行気分に。 刺激と非日常に満ちた、大人のための最高の遊び場があなたを待っています。 一晩で人生が変わるかもしれない、究極の興奮を体験してみませんか。,/images/tourist_spot/001.jpg
2,1,自由の女神,アメリカの自由と民主主義の象徴として、100年以上にわたりニューヨーク港を見守る巨大な女神像。 台座や冠の展望台からは、マンハッタンのスカイラインとハドソン川の雄大な景色を一望できます。 移民たちが新世界への希望を胸に見た、歴史的な感動を追体験。 フェリーで海風を感じながら近づく姿は、まさに映画のワンシーンのようです。 アメリカンドリームの始まりを感じさせる、威厳と希望に満ちたその姿を間近でご覧ください。 世界に誇るこのモニュメントの前で、新たな決意を胸に刻みましょう。,/images/tourist_spot/002.jpg
3,1,ハリウッド,夢を追いかける人々の街、世界の映画産業の中心地。 「ハリウッド・サイン」を背景に記念写真を撮り、スターの仲間入り気分を味わいましょう。 ハリウッド大通りでは、有名俳優たちの手形やサインが刻まれた「ウォーク・オブ・フェーム」を散策。 TCLチャイニーズ・シアターで、お気に入りのスターの足跡を見つけるのも楽しみの一つです。 映画史の栄光と、現代のエンターテイメントが交差するこの場所で、あなただけのストーリーを見つけてください。 誰もが知る“あの”場所で、きらめく才能の気配を感じましょう。,/images/tourist_spot/003.jpg
4,3,グランド・キャニオン国立公園,"地球の歴史が刻まれた、深さ1,600m、長さ450kmにも及ぶ大渓谷。 悠久の時が作り上げた壮大な景色は、人間の想像力をはるかに超える自然の芸術です。 朝焼けや夕焼けの時間帯には、刻々と色を変える岩肌が息をのむような美しさを演出。 サウスリムの展望台から見下ろす谷底、ハイキングで感じる大地の鼓動。 この圧倒的なスケールと静寂の中で、日常を忘れ、地球の雄大さに心を洗われる体験を。 あなたの人生観を変えるかもしれない、世界最高の絶景がここにあります。",/images/tourist_spot/004.jpg
5,4,メトロポリタン美術館,古代から現代まで、世界中の文明と芸術を網羅する巨大な殿堂。 エジプトの神殿や、ヨーロッパの巨匠たちの絵画、アジアの美術品など、膨大なコレクションを所蔵しています。 一日では回りきれないほどの至宝の数々が、時を超えた感動を与えてくれます。 ルーフガーデンからのマンハッタンの眺めもまた、特別なアート体験の一つです。 世界最高峰の美と歴史に触れる知的興奮を、この「The Met」で味わいましょう。 知識と感性を刺激する、ニューヨークの文化の心臓部へようこそ。,/images/tourist_spot/005.jpg
6,4,ブロードウェイ,世界中から才能が集う、演劇・ミュージカルの最高峰。 華やかな舞台セット、迫力ある歌声とダンスに、観客は瞬く間に別世界へと引き込まれます。 誰もが知る名作から最新の話題作まで、連日熱い感動を届けるショーの数々。 劇場街の賑わいや、幕間に飛び交う興奮の声も、すべてが特別な思い出になります。 人生で一度は体験したい、本場のミュージカルの圧倒的なライブパフォーマンス。 忘れられない一夜の感動と興奮を、ぜひその目で、耳で感じてください。,/images/tourist_spot/006.jpg
7,5,ホワイトハウス,アメリカ合衆国の大統領が執務をとり、家族と暮らす、世界で最も有名な公邸の一つ。 世界政治の最前線であり続けるこの場所は、歴史の重みと権威を感じさせます。 整然とした外観は、アメリカの民主主義と強さを象徴する荘厳な美しさを放っています。 広大な敷地を囲むフェンス越しに、アメリカの「今」を感じる貴重な体験を。 アメリカの歴史と政治の中心地で、その威厳に満ちた雰囲気に触れてみましょう。 一国のリーダーの決断の場所が、あなたの目の前にあります。,/images/tourist_spot/007.jpg
8,5,ワシントン記念塔,初代大統領ジョージ・ワシントンを称える、ワシントンD.C.のシンボル的なオベリスク。 街の中心にそびえ立つ純白の塔は、力強さとアメリカの独立への敬意を象徴しています。 展望台からは、ナショナルモールを中心に広がるワシントンD.C.の街並みを360度見渡せます。 リンカーン記念館やホワイトハウスなど、重要な建築物を一望できる絶好のフォトスポットです。 青空を貫くその雄大な姿は、見る者に力強い感動とインスピレーションを与えてくれます。 この街のランドマークから、アメリカの歴史と希望を見つめ直しましょう。,/images/tourist_spot/008.jpg
9,6,ウォルト・ディズニー・ワールド・リゾート,"世界最大の夢と魔法の王国。４つのテーマパークと２つのウォーターパークで構成される巨大リゾートです。 シンデレラ城やスペース・マウンテンなど、誰もが知る象徴的なアトラクションが勢揃い。 最先端の技術と心温まるストーリーテリングが融合した、究極の没入体験が待っています。 キャラクターとのグリーティングや、夜空を彩る壮大な花火ショーは感動必至。 大人も子供も、日頃の現実を忘れ、純粋な喜びと興奮に満たされる場所。 あなたの""心のスイッチ""をオフにして、最高のファンタジーの世界に飛び込みましょう。",/images/tourist_spot/009.jpg
10,6,マイアミ・ビーチ,アール・デコ調の建物が立ち並ぶ活気ある街並みと、白く輝く砂浜が魅力のリゾート地。 透き通ったターコイズブルーの海と、ヤシの木が揺れる美しい景色が非日常を演出します。 オーシャンドライブ沿いのカフェやバーでは、ラテンの音楽と熱気を感じながら食事を。 日光浴やマリンスポーツを楽しむ人々で賑わう、解放感あふれる空間です。 昼はビーチでリラックス、夜はナイトライフを満喫できる、大人のためのパラダイス。 太陽とアート、そしてエキゾチックな文化が交差する、アメリカ屈指のビーチシティへ。,/images/tourist_spot/010.jpg
